Symbol,Side,SL,TP,Open Time,Open Price,Close Time,Close Price,PnL,Lots,Gain,Day of the week,Session,RR Ratio,Pips
GBPUSD,SELL,1.26506,1.26176,2025-01-02 13:00,1.26476,2025-01-02 13:00,1.26476,0,1,-0.07%,Tuesday,NY,4.3,12.7
GBPUSD,SELL,1.26376,1.26041,2025-01-03 12:27,1.26334,2025-01-03 12:27,1.26334,-41,1,-0.48%,Wednesday,LND,0,-4.2
GBPUSD,SELL,1.26414,1.26085,2025-01-03 13:27,1.26384,2025-01-03 13:27,1.26384,-38,1,-0.45%,Wednesday,NY,0,-3
GBPUSD,SELL,1.27244,1.26565,2025-01-04 10:39,1.27214,2025-01-04 10:39,1.27214,161,1,1.54%,Thursday,LND,5.37,16.1
GBPUSD,BUY,1.26994,1.27324,2025-01-04 11:35,1.27026,2025-01-04 11:35,1.27026,-20,1,-0.27%,Thursday,LND,0,-2
GBPUSD,BUY,1.26994,1.27324,2025-01-04 11:35,1.27025,2025-01-04 11:35,1.27025,-26,1,-0.33%,Thursday,LND,0,-2.6
GBPUSD,SELL,1.27116,1.26768,2025-01-08 13:12,1.27069,2025-01-08 13:13,1.27069,-47,1,-0.54%,Monday,NY,0,-4.7
GBPUSD,SELL,1.27243,1.26913,2025-01-09 14:22,1.27213,2025-01-09 14:23,1.27213,-47,1,-0.54%,Tuesday,NY,0,-4.7
GBPUSD,SELL,1.27302,1.27024,2025-01-10 12:00,1.27272,2025-01-10 12:01,1.27272,-28,1,-0.35%,Wednesday,LND,0,-2.8
GBPUSD,SELL,1.27289,1.26959,2025-01-10 12:20,1.27259,2025-01-10 12:21,1.27259,-40,1,-0.47%,Wednesday,LND,0,-4
GBPUSD,SELL,1.2725,1.26907,2025-01-15 13:39,1.27209,2025-01-15 13:40,1.2725,-41,1,-0.48%,Monday,NY,0,-4.1
GBPUSD,SELL,1.2725,1.26907,2025-01-15 13:47,1.27226,2025-01-15 13:48,1.2725,-22,1,-0.29%,Monday,NY,0,-2.2
GBPUSD,BUY,1.27179,1.27505,2025-01-15 14:09,1.27208,2025-01-15 14:10,1.27179,-29,1,-0.36%,Monday,NY,0,-2.9
GBPUSD,SELL,1.26691,1.26331,2025-01-16 09:03,1.26661,2025-01-16 09:04,1.26691,222,0.7,2.17%,Tuesday,LND,11,33
GBPUSD,SELL,1.26691,1.26589,2025-01-16 09:03,1.26661,2025-01-16 09:04,1.26691,18,0.3,0.16%,Tuesday,LND,2.4,7.2
GBPUSD,SELL,1.26806,1.26481,2025-01-18 13:10,1.26785,2025-01-18 13:11,1.26806,-21,1,-0.28%,Thursday,NY,0,-2.1
GBPUSD,SELL,1.2675,1.27077,2025-01-19 13:00,1.2678,2025-01-19 13:01,1.2675,-28,1,-0.35%,Friday,LND,0,-2.8
GBPUSD,SELL,1.26795,1.27145,2025-01-19 13:02,1.26815,2025-01-19 13:03,1.26795,-20,1,-0.27%,Friday,LND,0,-2
