Date,Symbol,PnL_Saved,Risk_Score,Reason
2024-05-22 11:15:00,GBPUSD,460.0,72.8,"Revenge_Timer: 0.17, RR Ratio: -0.10, Losing_Streak: 0.08"
2024-05-24 10:34:00,GBPUSD,500.0,70.7,"Revenge_Timer: 0.15, RR Ratio: -0.10, Losing_Streak: 0.09"
2024-05-24 11:03:00,GBPUSD,500.0,72.0,"Losing_Streak: 0.15, RR Ratio: -0.12, Revenge_Timer: 0.11"
2025-01-02 13:00:00,GBPUSD,-0.0,29.0,"RR Ratio: -0.14, Revenge_Timer: -0.11, Losing_Streak: 0.10"
2025-01-04 11:35:00,GBPUSD,26.0,81.3,"Revenge_Timer: 0.16, RR Ratio: 0.09, Drawdown_State: -0.04"
2025-01-08 13:36:00,GBPUSD,600.0,82.5,"Losing_Streak: 0.16, RR Ratio: 0.09, Revenge_Timer: -0.04"
2025-01-08 13:44:00,GBPUSD,680.0,95.1,"Losing_Streak: 0.14, Revenge_Timer: 0.10, RR Ratio: 0.08"
2025-01-09 14:22:00,GBPUSD,47.0,81.6,"Losing_Streak: 0.15, RR Ratio: 0.12, Revenge_Timer: -0.05"
2025-01-10 08:16:00,GBPUSD,700.0,87.3,"Losing_Streak: 0.13, Revenge_Timer: 0.11, RR Ratio: -0.08"
2025-01-10 12:00:00,GBPUSD,28.0,77.2,"Losing_Streak: 0.13, RR Ratio: 0.11, Revenge_Timer: -0.08"
2025-01-10 12:20:00,GBPUSD,40.0,85.7,"Losing_Streak: 0.12, RR Ratio: 0.09, Drawdown_State: 0.05"
2025-01-13 13:12:00,GBPUSD,700.0,71.2,"Losing_Streak: 0.15, RR Ratio: -0.10, Revenge_Timer: -0.08"
2025-01-13 13:21:00,GBPUSD,760.0,86.9,"Losing_Streak: 0.14, RR Ratio: -0.09, Revenge_Timer: 0.09"
2025-01-13 13:23:00,GBPUSD,660.0,86.9,"Losing_Streak: 0.14, Revenge_Timer: 0.09, RR Ratio: -0.09"
2025-01-14 08:43:00,GBPUSD,520.0,76.4,"Losing_Streak: 0.15, RR Ratio: -0.08, Drawdown_State: 0.08"
2025-01-15 09:22:00,GBPUSD,-0.0,62.7,"Losing_Streak: 0.08, Revenge_Timer: -0.08, Drawdown_State: 0.06"
2025-01-15 13:39:00,GBPUSD,41.0,71.9,"Losing_Streak: -0.17, Drawdown_State: 0.17, RR Ratio: 0.13"
2025-01-15 13:47:00,GBPUSD,22.0,85.9,"Revenge_Timer: 0.10, RR Ratio: 0.09, Drawdown_State: 0.08"
2025-01-15 14:09:00,GBPUSD,29.0,73.4,"Drawdown_State: 0.12, RR Ratio: 0.10, Revenge_Timer: -0.03"
2025-01-16 09:03:00,GBPUSD,-222.0,42.0,"RR Ratio: -0.17, Losing_Streak: 0.09, Revenge_Timer: -0.08"
2025-01-16 09:32:00,GBPUSD,820.0,86.8,"Revenge_Timer: 0.11, RR Ratio: -0.07, Drawdown_State: 0.07"
2025-01-16 09:52:00,GBPUSD,600.0,78.0,"Drawdown_State: 0.10, RR Ratio: -0.07, Lot_Deviation: 0.06"
2025-01-16 10:01:00,GBPUSD,620.0,89.1,"Losing_Streak: 0.13, Revenge_Timer: 0.09, RR Ratio: -0.09"
2025-01-17 08:25:00,GBPUSD,440.0,72.0,"Losing_Streak: 0.12, RR Ratio: -0.09, Drawdown_State: 0.09"
2025-01-18 13:10:00,GBPUSD,21.0,84.1,"RR Ratio: 0.11, Losing_Streak: 0.10, Drawdown_State: 0.09"
2025-01-19 13:00:00,GBPUSD,28.0,83.4,"Losing_Streak: 0.11, RR Ratio: 0.11, Drawdown_State: 0.10"
