Symbol,Side,SL,TP,Open Time,Open Price,Close Time,Close Price,PnL,Lots,Gain,Day of the week,Session,RR Ratio,Pips,Hour_Decimal,Losing_Streak,Equity_Curve,Equity_Curve_Delayed,Drawdown_State,Lot_Deviation,Prev_Close_Time,Revenge_Timer,Is_High_Risk,Real_Equity,Shadow_Equity
GBPUSD,SELL,1.27039,1.26718,2024-05-20 09:55:00,1.27009,2024-05-20 09:56:00,1.26718,-600.0,20.0,0.7,Monday,London,9.97,29.1,9.916666666666666,0,99400.0,100000.0,0.0,0.3898773502280684,,9999.0,0,99400.0,99400.0
GBPUSD,SELL,1.27018,1.26811,2024-05-20 13:20:00,1.2699,2024-05-20 13:21:00,1.26811,-520.0,20.0,0.62,Monday,New York,13.33,17.9,13.333333333333334,1,98880.0,99400.0,0.6,0.0,2024-05-20 09:56:00,204.0,0,98880.0,98880.0
GBPUSD,SELL,1.27011,1.26811,2024-05-20 13:32:00,1.26985,2024-05-20 13:33:00,1.26811,-560.0,20.0,-0.66,Monday,New York,12.33,17.4,13.533333333333333,2,98320.0,98880.0,1.1199999999999999,0.0,2024-05-20 13:21:00,11.0,1,98320.0,98320.0
GBPUSD,BUY,1.27159,1.27311,2024-05-21 08:51:00,1.27185,2024-05-21 08:52:00,1.27311,-520.0,20.0,-0.62,Tuesday,London,6.48,12.6,8.85,3,97800.0,98320.0,1.68,0.0,2024-05-20 13:33:00,1158.0,1,97800.0,97800.0
GBPUSD,BUY,1.2713,1.27196,2024-05-21 11:38:00,1.2716,2024-05-21 11:39:00,1.27196,720.0,20.0,-0.62,Tuesday,London,2.2,3.6,11.633333333333333,4,98520.0,97800.0,2.1999999999999997,0.0,2024-05-21 08:52:00,166.0,0,98520.0,98520.0
GBPUSD,SELL,1.27333,1.27,2024-05-22 11:09:00,1.27314,2024-05-22 11:10:00,1.27,-380.0,20.0,-0.48,Wednesday,London,9.17,31.4,11.15,0,98140.0,98520.0,1.48,0.0,2024-05-21 11:39:00,1410.0,0,98140.0,98140.0
GBPUSD,SELL,1.27339,1.27,2024-05-22 11:15:00,1.27316,2024-05-22 11:16:00,1.27,-460.0,20.0,-0.56,Wednesday,London,8.53,31.6,11.25,1,97680.0,98140.0,1.8599999999999999,0.0,2024-05-22 11:10:00,5.0,1,97680.0,98140.0
GBPUSD,SELL,1.27343,1.27,2024-05-22 12:18:00,1.27318,2024-05-22 12:19:00,1.27,2970.0,20.0,2.87,Wednesday,London,10.6,31.8,12.3,2,100650.0,97680.0,2.32,0.0,2024-05-22 11:16:00,62.0,0,100650.0,101110.0
GBPUSD,SELL,1.27343,1.27,2024-05-22 12:18:00,1.27317,2024-05-22 12:19:00,1.27,2950.0,20.0,2.85,Wednesday,London,10.57,31.7,12.3,0,103600.0,100650.0,0.0,0.0,2024-05-22 12:19:00,-1.0,0,103600.0,104060.0
GBPUSD,SELL,1.27442,1.27213,2024-05-22 15:00:00,1.27317,2024-05-22 15:01:00,1.27213,-250.0,20.0,-0.35,Wednesday,New York,4.82,10.4,15.0,0,103350.0,103600.0,0.0,0.0,2024-05-22 12:19:00,161.0,0,103350.0,103810.0
GBPUSD,SELL,1.27427,1.27213,2024-05-22 15:21:00,1.27402,2024-05-22 15:22:00,1.27213,790.0,20.0,0.69,Wednesday,New York,8.17,18.9,15.35,1,104140.0,103350.0,0.2413127413127413,0.0,2024-05-22 15:01:00,20.0,0,104140.0,104600.0
GBPUSD,BUY,1.27322,1.27442,2024-05-23 14:02:00,1.27352,2024-05-23 14:03:00,1.27442,1000.0,20.0,0.9,Thursday,New York,5.57,9.0,14.033333333333333,0,105140.0,104140.0,0.0,0.0,2024-05-22 15:22:00,1360.0,0,105140.0,105600.0
GBPUSD,BUY,1.27022,1.27507,2024-05-24 10:18:00,1.27052,2024-05-24 10:19:00,1.27507,260.0,20.0,0.16,Friday,London,1.33,45.5,10.3,0,105400.0,105140.0,0.0,0.0,2024-05-23 14:03:00,1215.0,0,105400.0,105860.0
GBPUSD,SELL,1.27114,1.2679,2024-05-24 10:34:00,1.27089,2024-05-24 10:35:00,1.2679,-600.0,20.0,-0.7,Friday,London,7.67,29.9,10.566666666666666,0,104800.0,105400.0,0.0,0.0,2024-05-24 10:19:00,15.0,0,104800.0,105260.0
